ATIVO	PRODUTO	DATE	QUANTIDADE	VALOR LÍQUIDO
TESOURO DIRETO	Tesouro IPCA+ 2045	12-2020	8,82	12671,05
TESOURO DIRETO	Tesouro IPCA+ 2045	11-2020	1,28	1580,48
TESOURO DIRETO	Tesouro IPCA+ 2035	4-2021	6	11974,99
TESOURO DIRETO	Tesouro IPCA+ 2026	8-2021	1,74	5058,79
TESOURO DIRETO	Tesouro IPCA+ 2035	8-2021	6,04	11602,38
TESOURO DIRETO	Tesouro IPCA+ 2026	12-2021	1,74	5185,43
TESOURO DIRETO	Tesouro IPCA+ 2035	12-2021	6,04	11253,24
TESOURO DIRETO	Tesouro IPCA+ 2045	2-2021	8,99	12090,17
TESOURO DIRETO	Tesouro IPCA+ 2045	1-2021	8,91	12478,26
TESOURO DIRETO	Tesouro IPCA+ 2026	7-2021	1,74	5101,16
TESOURO DIRETO	Tesouro IPCA+ 2035	7-2021	6,04	11992,28
TESOURO DIRETO	Tesouro IPCA+ 2026	6-2021	1,74	5107,85
TESOURO DIRETO	Tesouro IPCA+ 2035	6-2021	6,04	12083,19
TESOURO DIRETO	Tesouro IPCA+ 2035	5-2021	6,04	11910,94
TESOURO DIRETO	Tesouro IPCA+ 2035	3-2021	5,95	11676,88
TESOURO DIRETO	Tesouro IPCA+ 2026	11-2021	1,74	5145,79
TESOURO DIRETO	Tesouro IPCA+ 2035	11-2021	6,04	11389,73
TESOURO DIRETO	Tesouro IPCA+ 2026	10-2021	1,74	4944,4
TESOURO DIRETO	Tesouro IPCA+ 2035	10-2021	6,04	10699,74
TESOURO DIRETO	Tesouro IPCA+ 2026	9-2021	1,74	5083,36
TESOURO DIRETO	Tesouro IPCA+ 2035	9-2021	6,04	11390,79
TESOURO DIRETO	Tesouro IPCA+ 2026	4-2022	2,41	7480,09
TESOURO DIRETO	Tesouro IPCA+ 2035	4-2022	6,04	11492,53
TESOURO DIRETO	Tesouro Selic 2024	4-2022	0,39	4486,39
TESOURO DIRETO	Tesouro IPCA+ 2026	8-2022	2,41	7544,71
TESOURO DIRETO	Tesouro IPCA+ 2035	8-2022	6,04	11452,06
TESOURO DIRETO	Tesouro Selic 2024	8-2022	0,39	4653,02
